field1,field2,field3
-13,-6,1034
-12,-10,1029
-12,-10,1036
-4,-2,1036
-4,-9,1029
-13,-8,1040
-12,-7,1031
-9,-11,1029
-6,-5,1032
-10,-3,1038
-11,-8,1030
-11,-11,1032
-12,-5,1034
-14,-10,1037
-6,-3,1036
-8,-4,1033
-6,-8,1030
-9,-3,1036
-10,-4,1038
-13,-4,1037
-12,-9,1033
-8,-4,1038
-8,-3,1037
-11,-7,1030
-11,-10,1031
-12,-6,1036
-12,-4,1034
-9,-5,1035
-7,-5,1033
-11,-11,1031
-14,-6,1036
-13,-5,1036
-10,-7,1038
-8,-4,1032
-11,-9,1032
-11,-6,1037
-10,-3,1039
-7,-6,1033
-9,-3,1037
-14,-6,1030
-10,-3,1037
-10,-4,1032
-9,-4,1029
-8,-12,1039
-7,-6,1028
-10,-7,1032
-12,-5,1034
-13,-8,1033
-7,-6,1032
-8,-3,1027
-9,-4,1037
-2,-11,1033
-17,-20,1032
-22,-20,1038
-16,-21,1026
-22,-16,1026
-16,-17,1035
-15,-22,1032
-17,-23,1029
-25,-19,1032
-20,-21,1038
-20,-29,1036
-18,-19,1032
-16,-20,1030
-20,-21,1038
-16,-19,1031
-16,-21,1033
-17,-23,1033
-17,-19,1033
-16,-22,1035
-22,-22,1033
-17,-21,1039
-15,-19,1034
-19,-21,1032
-18,-22,1028
-21,-22,1031
-16,-17,1034
-16,-21,1033
-20,-22,1036
-17,-19,1033
-17,-20,1029
-19,-24,1032
-17,-21,1034
-16,-20,1026
-21,-16,1030
-13,-19,1033
-12,-21,1039
-16,-22,1032
-17,-23,1031
-21,-22,1033
-19,-20,1036
-18,-23,1038
-19,-19,1037
-16,-23,1028
-18,-18,1031
-22,-22,1033
-20,-20,1034
-18,-23,1029
-18,-18,1031
-19,-23,1037
-16,-25,1026
-21,-17,1035
-20,-24,1033
-16,-22,1039
-21,-19,1032
-15,-19,1037
-20,-26,1031
-20,-20,1031
-17,-18,1030
-14,-23,1035
-17,-16,1033
-17,-17,1031
-22,-23,1033
-15,-22,1032
-15,-22,1030
-16,-23,1031
-19,-21,1032
-19,-23,1030
-19,-24,1033
-15,-18,1038
-22,-20,1034
-18,-20,1035
-19,-17,1032
-15,-21,1030
-18,-22,1036
-23,-22,1036
-19,-20,1039
-19,-21,1033
-19,-24,1031
-15,-21,1028
-19,-21,1031
-14,-19,1039
-17,-17,1041
-16,-21,1030
-17,-26,1036
-20,-20,1029
-23,-22,1036
-19,-24,1030
-18,-20,1029
-20,-23,1034
-17,-18,1032
-17,-22,1031
-14,-17,1038
-18,-16,1035
-17,-19,1032
-17,-22,1041
-14,-22,1032
-18,-22,1038
-17,-24,1037
-21,-17,1031
-14,-20,1030
-16,-19,1033
-18,-20,1028
-15,-18,1037
-21,-22,1032
-16,-24,1037
-18,-16,1033
-21,-16,1033
-18,-19,1030
-16,-19,1033
-15,-17,1033
-20,-24,1035
-16,-19,1033
-20,-26,1035
-20,-24,1029
-17,-19,1035
-17,-21,1034
-16,-17,1038
-19,-19,1029
-20,-24,1035
-16,-19,1033
-20,-20,1037
-20,-19,1033
-19,-25,1029
-18,-18,1031
-18,-20,1033
-17,-22,1042
-21,-22,1034
-14,-24,1038
-12,-21,1036
-14,-23,1029
-22,-19,1033
-17,-18,1034
-18,-21,1031
-20,-21,1034
-15,-21,1035
-18,-19,1032
-17,-19,1028
-18,-16,1033
-18,-23,1036
-19,-19,1037
-16,-19,1035
-15,-23,1037
-18,-19,1035
-18,-22,1035
-15,-21,1033
-18,-19,1034
-18,-21,1037
-19,-21,1031
-21,-21,1034
-18,-22,1033
-21,-18,1032
-17,-18,1035
-17,-21,1033
-14,-20,1034
-15,-22,1037
-22,-23,1035
-19,-19,1042
-18,-20,1035
-20,-22,1038
-17,-20,1035
-18,-22,1036
-19,-23,1031
-18,-18,1033
-18,-18,1034
-19,-22,1037
-21,-19,1033
-17,-21,1031
-18,-22,1034
-14,-19,1038
-20,-17,1034
-12,-20,1030
-21,-21,1041
-19,-21,1026
-14,-21,1034
-18,-17,1029
-17,-19,1032
-19,-23,1034
-16,-21,1034
-15,-22,1037
-17,-16,1032
-20,-18,1031
-17,-21,1035
-17,-15,1029
-16,-21,1036
-15,-17,1039
-18,-21,1039
-17,-19,1037
-18,-20,1036
-16,-19,1040
-19,-19,1032
-17,-20,1040
-19,-18,1027
-21,-19,1033
-19,-20,1039
-17,-22,1035
-17,-21,1033
-16,-23,1037
-18,-22,1034
-17,-22,1038
-17,-21,1030
-25,-27,1038
-20,-21,1036
-20,-21,1033
-18,-24,1035
-15,-25,1037
-15,-21,1030
-17,-21,1031
-20,-21,1028
-19,-20,1032
-19,-22,1031
-19,-20,1032
-21,-21,1035
-16,-21,1034
-19,-17,1034
-16,-19,1032
-16,-22,1036
-21,-25,1034
-16,-24,1034
-11,-21,1034
-19,-19,1035
-20,-22,1038
-18,-19,1033
-16,-20,1033
-17,-17,1036
-14,-18,1036
-17,-18,1034
-20,-18,1033
-19,-26,1031
-17,-17,1037
-19,-22,1029
-14,-21,1036
-18,-16,1035
-19,-18,1030
-13,-24,1033
-20,-23,1037
-15,-19,1027
-19,-20,1029
-17,-20,1032
-19,-16,1028
-22,-21,1033
-16,-21,1034
-13,-23,1033
-20,-18,1031
-19,-18,1038
-18,-21,1037
-16,-22,1035
-23,-17,1033
-23,-20,1039
-17,-20,1032
-18,-23,1032
-18,-21,1035
-19,-18,1041
-17,-21,1029
-19,-18,1033
-16,-21,1039
-17,-17,1028
-19,-16,1039
-17,-23,1032
-18,-20,1041
-20,-22,1039
-19,-19,1033
-21,-18,1036
-21,-18,1031
-19,-20,1032
-18,-18,1038
-17,-22,1032
-21,-19,1031
-17,-23,1036
-22,-16,1034
-17,-17,1033
-16,-20,1030
-21,-19,1029
-21,-19,1032
-16,-18,1036
-17,-19,1029
-19,-19,1034
-19,-19,1036
-14,-19,1030
-22,-18,1038
-14,-19,1033
-17,-24,1036
-20,-20,1032
-24,-22,1036
-18,-17,1038
-22,-22,1041
-17,-21,1032
-17,-22,1037
-21,-20,1036
-13,-19,1038
-16,-20,1038
-18,-21,1033
-20,-23,1028
-22,-22,1027
-19,-18,1035
-17,-22,1030
-16,-16,1031
-18,-19,1035
-19,-19,1036
-21,-23,1032
-17,-21,1028
-16,-19,1029
-11,-22,1037
-20,-21,1034
-18,-21,1036
-14,-20,1034
-16,-23,1031
-18,-19,1038
-18,-21,1041
-16,-18,1039
-17,-24,1029
-19,-16,1034
-16,-18,1032
-18,-17,1030
-18,-17,1026
-21,-19,1039
-18,-23,1036
-16,-22,1035
-21,-20,1033
-13,-23,1037
-19,-18,1033
-19,-19,1032
-16,-18,1030
-18,-21,1037
-15,-21,1034
-18,-17,1035
-16,-19,1030
-21,-18,1033
-17,-21,1035
-21,-19,1033
-18,-21,1032
-20,-21,1033
-20,-22,1032
-19,-18,1037
-16,-25,1031
-17,-24,1033
-17,-25,1037
-17,-21,1028
-19,-19,1037
-17,-19,1030
-18,-16,1037
-22,-22,1031
-21,-22,1036
-21,-23,1030
